company,method,position,post,salary,time
“前程无忧”51job.com（上海）,,上海,Python开发工程师,商议决定,07-27
上海每联每信息技术有限公司大连分...,"适合敏捷开发的开发模式,3年以上开发经验,精通Java或python开发,有网络相关项目经验优先,有测试经验优先,有CCNA/CCNP技能者优先,具备良好的逻辑思维能力和抽象思维能力,有Web项目相关经验和知识者优先",大连-沙河口区,Python高级开发工程师,1-1.5万/月,07-27
广州市派客朴食信息科技有限责任公...,"岗位职责：,1.参与系统后端的需求讨论分析，制定相应的技术方案；,2.具备一定的运维能力，保证服务器稳定运行；,3.根据实际需要进行新技术预研并解决各类技术问题。,任职要求：,1.全日制大专及以上学历，通信或计算机相关专业；,2.2年以上Python 项目开发经验；,3.扎实的python基础，优秀的pythonic思想，熟悉Flask、Tornado等web开发框架；,4.熟悉同步、异步等网络编程模型，多线程, 协程等并发模型；,5.有较强的业务理解能力，深刻理解Restful API设计风格；,6.熟悉MySQL、Postgresql、Redis，熟悉数据库索引；,7.有独立分析和解决问题的能力，有良好的团队合作精神；,8.主导开发python项目优先 。,9.熟悉python大数据分析相关库numpy等和算法项目优先。",广州-海珠区,Python开发工程师,1-1.5万/月,07-27
南京宝正见企业管理有限公司,"1、分析业务需求，准确的将业务需求转化为技术需求；,2、设计技术方案和系统架构，重构已有不完善的系统；,3、编写系统核心代码，解决开发中的疑难问题；,4、将来承担重要系统模块的维护工作，保证系统服务的稳定可靠；,5、能为团队引入创新的技术、创新的解决方案，用创新的思路解决问题。,任职要求：,1、1年及以上Python服务端开发经验，有相关工作经验；,2、熟练运用Flask/Django/tornado等框架，实际开发过项目的优先；,3、熟悉常用的存储技术，如MySQL、Redis、Postgresql等，能根据业务需求设计性能良好、扩展性高、稳定可靠的数据存储结构；,4、熟悉Linux、docker服务部署及优化，理解负载均衡和网络调优优先。",南京,Python开发工程师,0.8-1.5万/月,07-27
苏州金普软件科技有限公司,"1、根据产品具体要求，承担开发任务，按计划完成任务目标,2、主要从事Python项目开发、功能及性能测试,3、完成上级领导安排的其他工作任务,岗位要求：,1、有项目开发经验，良好的编程习惯，精通数据结构和面向对象程序设计，编写高效，整洁的代码,2、性格开朗，阳光。做事严谨认真，愿意从事技术类工作,3、深入掌握VB,VS,ASP .NET C#开发语言， 对于软件前端和后端开发有良好的基础,4、熟悉熟悉.net 或者 java技术，熟悉webapi webservice ；,5、了解金蝶K/3表结构，熟悉SQL Server主流数据库的设计优先考虑等;,6、愿意刻苦钻研专业技术，良好的沟通能力，逻辑思维能力，具有较好的团队合作精神、主动性与责任心",苏州-工业园区,Python开发工程师,0.6-1万/月,07-27
杭州剑齿虎信息技术有限公司,"岗位职责：,1、负责公司订单管理系统或者大数据平台的接口的功能开发和代码维护，能独立完成子系统和功能模块开发，编写完整的接口文档；,2、根据需求制定技术方案，项目计划以及开发,学习研究，并将之应用到工作当中,3、根据产品需求，进行系统设计和编码, 持续对系统架构进行改造和优化, ,任职资格：,1. 3年及以上Python开发经验；,2. 熟悉Python编程语言，熟悉flask django tornado其中至少一种Web开发框,3. 熟练使用Mysql，Redis、PostgreSQL等,4. 精通异步网络编程，多线程编程，HTTP协议，异步框架Async,集群与负载均衡,消息中间件等技术,5. 熟悉网页抓取原理及技术，能够总结分析不同网站，网页的结构特点及规律；,6. 熟悉常用Web服务器软件如Apache Nginx等；,7. 熟练使用Linux操作系统，具有基础服务维护能力,8.熟悉Hadoop生态圈，对HBase、Hive、Spark、Kafka等主流分布式开发套件有一定认识；,9.能熟练应用numpy，pandas，scikit-learn，keras等建模库；,10. 有良好的逻辑思维能力和团队沟通能力，强大的自我驱动力和自学能力，能够承受工作压力，有强烈的责任心,11.理解并能应用RESTFul规范,具备较强的编程能力和良好的编码风格、结构清晰，命名规范，逻辑性强，代码冗余率低,上班地址：上海市莲花南路2689号",上海-闵行区,Python开发工程师,1-1.8万/月,07-27
湖北宽云网络科技有限公司,"1、根据业务需求，对数据进行提取、整合、分析，为业务部门进行设备性能分析和故障诊断提供数据分析支持,2、匹配合适算法，选择对应的模型，建立数据分析模型，实现设备的控制策略；,任职要求：,1、熟练掌握Python语言，有数据工程领域开发经验，拥有数据分析建模理论、熟悉数据分析建模过程；,2、能快速理解业务，发掘业务细节和数据之间的联系；,3、熟悉NumPy、SciPy和Pandas等数据分析工具的使用；,4、熟悉数据可视化工具；,5、有丰富的数据分析，数据挖掘项目经验；,6、本科以上学历。",襄阳,python数据分析工程师,0.6-1万/月,07-27
北京四海盈科信息技术有限公司,"岗位职责：,1、参与爬虫和数据采集系统的设计和开发,2、负责反爬虫策略研究、技术调研,3、对爬取内容进行数据清洗、去重,4、负责相关开发文档的编写,任职要求：,1、3年以上工作经验，本科以上,2、精通python语言, 有扎实的编码能力,良好的编码习惯和学习能力,3、精通SQL编写，熟练使用至少一种数据库（MySQL/Redis/Elasticsearch),4、熟练掌握python，掌握numpy、pandas、selenium、scrapy等包的用法,5、熟悉python其他扩展模块,6、有解决复杂的反爬限制实践经验,7、加分项：机器学习/深度学习模型开发经验",北京-海淀区,Python开发工程师,1-1.5万/月,07-27
深析智能科技有限公司,"岗位职责：,1、开展数据分析、机器学习算法的研发与应用；,2、参与公司相关软件产品的研发；,3、参与软件产品相关文档的撰写。  ,岗位要求：,1、计算机科学与技术等相关专业本科及以上学历；,2、2年以上Python程序开发经验；   ,3、有较强的算法分析和实现能力；,4、善于分析和解决问题，学习能力强，良好的团队合作精神。,优先考虑：,1、精通机器学习及数据处理工具（pandas、numpy、sklearn等）；,2、熟悉Linux环境下编程，了解docker、git等工具。",天津-西青区,Python算法工程师,1.2-2万/月,07-27
罗斯德尔汽车工程技术（北京）有限...,岗位要求：,上海-闵行区,Python开发工程师,0.8-1.2万/月,07-27
长沙蜜獾信息科技有限公司,"1. 根据产品需要，承担相关模块开发任务和持续优化;,2. 负责协助产品的持续性版本迭代 ；,3. 指导初级开发工程师，并负责相关模块的文档编写工作；,4.对产品的性能进行调优改进。,任职资格:,1. 计算机相关专业，本科及以上学历，三年以上互联网产品研发经验；,2. 基础功扎实，掌握 python和常见开发框架,熟悉Django框架的后端API开发，熟悉PostgreSQL等常见关系型数据库，了解NO-SQL数据库；,3. 对高并发条件下服务器和代码优化方法有相关实战经验；,4. 具备分布式系统设计开发经验、服务器运维及水平扩展方面实战经验，能对分布式常用技术进行合理应用，解决问题；,5. 熟悉云计算及大数据的整体技术体系（包含计算、存储、网络、数据库、中间件、安全等）；,6. 对缓存、消息队列、集群技术处理、负载均衡、系统性能调优、系统韧性等软件编程高级技术有一定的了解；,7. 有很强的学习能力、压力承担能力及团队合作能力，有主动性和上进心；,8. 优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情。",长沙-岳麓区,Python中级（SG0302）,0.8-1.3万/月,07-27
上海众言网络科技有限公司,"岗位职责：,1、在标准产品上定制开发,2、对既有项目维护，包括问题调查并解决、架构&流程优化、新需求开发等,3、负责服务端开发,4、分析流程、思考总结，提出合理产品化建议,任职要求：,1、大学本科毕业，3年以上web后端开发经验,2、掌握至少一门编程语言，如 Python、Ruby、Java、PHP 等，python优先,3、熟悉常用 web 开发相关技术，如 web 框架、HTTP 协议、web 安全等,4、熟悉MongoDB，会性能调优优先,5、熟悉Redis、Nginx使用,6、熟悉Docker或K8S部署应用及调试者优先,7、良好的沟通能力，有团队合作精神和责任感,8、具备业务分析能力、团队协作能力、专业技术能力、逻辑思考能力、沟通表达能力、自主学习能力",上海-徐汇区,Python高级开发工程师,1.5-3万/月,07-27
长沙融自节能科技有限公司,"1、参与系统架构设计、后台功能的设计、开发及维护,2、理解需求，按照需求设计文档编写设计文档,3、参与核心系统的开发实现业务核心模块,4、保证开发的功能模块通过测试，平稳上线，保证系统的正常运营,5参与公司数据自动化分析平台的开发和维护。,6.参与公司大数据采集、数据可视化呈现的工作。,7.参与公司数据交付平台的维护及二次开发工作。,8.参与公司其他IT方面的建设工作。,9.熟悉PHP和Java和算法者优先,任职资格（Python方向）：,1.熟练掌握Python语言，编程基础扎实，熟悉常见数据结构，熟悉twisted框架优先。,2.熟悉MySQL，具有良好的SQL编程习惯，能写出高效的SQL语句；熟悉熟悉Redis或MongoDB等非关系型数据库；。,3.熟悉Pandas，Nump，Arima等数据分析库优先。,4.熟悉Flask或Django等Web框架，有分布式系统设计及开发经验优先。,5.思路清晰，学习能力强，踏实肯干，具有较好的团队合作精神。,6.计算机或相关专业本科及以上学历，亦欢迎优秀应届毕业生投递简历。,我们能提供的：,1.以结果为导向的薪酬福利体系；具有竞争力的基本工资，丰厚的绩效奖金（绩效奖金上不封顶，优秀员工可以拿到6个月以上的绩效奖金）,2.优秀人才有机会参与员工持股计划分享公司分红,3. 5-12天带薪年假，远超国家规定和一般企业5天的标准",长沙-雨花区,Python开发工程师,1-1.5万/月,07-27
广州多益网络股份有限公司,,广州-黄埔区,Python爬虫研发工程师,1.1-2万/月,07-27
上海力信测量系统有限公司,"岗位职责：,1、负责公司新产品的软件开发；,2、根据原型设计指导性文件进行开发定制；,3、完成上级交付的工作任务；,任职要求：,1、计算机相关专业，本科或以上学历，勤奋好学，1~2年以上工作经验或应届生均可；,2、具备一定的编程语言和数学基础，掌握至少一种系统级开发语言，例如Python，C/C++；,3、熟悉MySQL、SQL Server、Oracle等数据库编程；,4、熟悉TCP/UDP以太网、串口、CAN等通信基础知识；,5、性格积极乐观，具有团队精神，良好的沟通及文字表达能力。",长沙-长沙县,Python开发工程师（长沙）,0.8-1万/月,07-27
上海达内为上软件科技有限公司,"岗位职责：,1、按照童程讲师细则规范，负责讲授课程,2、负责整理学员学习报课，定期做家长回访,3、负责及时批改学员作业，解答学生问题,4、负责组织学生测评,5、配合班主任和其他相关人员工作,任职要求：,1、本科及以上学历，计算机专业优先,2、熟悉Java语言、JS语言、PHP语言、C+ +语言之中的一门语言,3、外貌端正,有亲和力，普通话及英语发音基本标准,表达清晰有条理。,4、热爱教育事业,有责任心,愿意从事青少年教育工作。,上班时间： 9:00-18:00 双休,薪资待遇：,1、入职有系统专业培训（免费），经考核合格即可正式授课，并享受进北京培训进修机会,2、无责底薪3-4K+课时费+加班补助+餐补  五险一金 综合薪资8k-1w,3、节假日、生日福利等优厚福利待遇,4、集团金股奖励5-20w,工作位置：,1.山大路数码港B座105室 洪家楼附近,2.杆石桥 银座晶都国际广场2号楼3号楼中间111室底商 经四路万达附近,3.姚家街道 二环东路和瑞广场B座6楼 甸柳庄附近,4.高新区万达写字楼万达中心写字楼一号楼711室,5.市中区英雄山星工坊2楼 英雄山校区,6.槐荫区 连城广场2楼（6家校区可以就近安排）",济南,Java python c++ 编程讲师 五险一金双休,0.8-1万/月,07-27
合肥竹阁知鼎信息技术有限公司,"岗位职责：,1、负责核心技术问题的攻关、架构设计、系统优化，协助解决项目开发过程中的技术难题;,2、高性能服务器端程序的设计、开发和测试;,3、负责现有业务的微服务化，并在不断的学习当中能够形成自己的架构方法论;,4、具有Golang/Python/ 开发后台相关项目经验。 ,职位要求：                                                                                                            ,1、本科及以上学历，计算机相关专业，基础知识扎实；                                               ,2、聪明，学习能力强，有独立解决问题的能力；                                                        ,3、三年以上的系统软件架构经验，精通Python语言，有完整软件项目开发、迭代和实施经验；,4、熟悉tornado/Django/flask框架，有大型项目经验与性能优化相关经验                          ,5、精通数据库,6、熟悉kafka/rabitmq等消息队列fuwu服务mysql/mongo/redis/elasticsearch/等，对数据库原理，sql优化等有深入理解    ,7、对数据处理/分析，pandas，spark/MR等有一定的了解,8、良好的编程习惯，追求极致的代码品质，熟悉常用设计模式和一般项目的开发流程；,9、开朗上进，积极沟通，善于团队协作。",合肥-高新区,Python工程师（初/中/高）,商议决定,07-27
武汉海星通技术股份有限公司,"岗位职责：,1、参与医疗类应用业务的后端需求分析，产品设计，功能开发；,2、协助构建能够满足产品需求的平台，系统及网络基础结构。,岗位要求：,1、本科学历，计算机相关专业；,2、实习时间不得低于3个月；,3、有数据库建模经验，有MySQL、PostgresSql、Redis使用经验者优先；,4、有Flask使用经验者优先；,5、具有良好的团队合作精神，有高度的责任心，能在开发过程中把控代码质量。",武汉-江汉区,python开发实习生,3-5千/月,07-27
深圳市广联智通科技有限公司,"任职要求：,1、参与软件系统的需求调研、分析及设计工作；,2、参与系统核心模块的程序编码工作；,3、负责云平台后台工作开发,功能模块的系统分析、模块设计、编码及测试工作；,4、根据业务需求，能独立设计开发相应的业务模块，并与他人合作或者可以独立完成云平台功能开发。,任职资格:,1、统招本科及以上学历，计算机相关专业；,2、注重团队合作，很强的责任心，工作积极主动的，表达能力较强、学习能力强、能独立思考的；,3、热爱编程，熟悉java、python、golang至少一种开发语言，使用linux的shell能完成日常简单维护工作；,4、对多线程编程、常用数据结构、算法了解，熟悉常用的设计模式及使用场景；,5、有过influxdb、redis、kafka、mysql、kibana开发经验的尤佳。",深圳,云平台开发工程师（Java、Python、Golang）,0.8-1.5万/月,07-27
江苏苏源高科技有限公司,"任职资格：,1、计算机或相关专业本科或以上学历，具有一定的英文文档阅读能力，2年以上工作经验。,2、熟练使用Python语言，精通Django、REST framework等框架,3、 精通关系型数据库，熟练运用SQL语句，并同时熟悉Redis数据库,4、 熟悉B\S程序开发过程及运行机制，熟悉TCP、http协议，及相应的开发调试工具,熟悉异步框架、集群、负载均衡，消息中间件，容灾备份等技术,5、具备需求分析和功能设计的能力，对于设计模式或者OOP编程原则有一定的理解,6、有大数据分析类项目开发经验者优先考虑；有视频分析相关开发经验者优先考虑,岗位职责：,1、能够根据项目的实际需要，进行开发工作；  ,2、能够保证自己代码的质量，发现和解决系统开发中存在的技术问题；  ,3、配合团队产品等其他人员解决系统运行中的问题，持续优化系统。, , ",南京-鼓楼区,Python开发工程师,1-1.5万/月,07-27
上海宽带技术及应用工程研究中心,"职位描述,1.根据产品或项目的要求，参与业务集成、系统设计；,2.对接算法工程师，将算法工程师提交的算法进行工程化与后端进行对接；,3.完成编程、调试和单元测试工作；,4.负责相关开发文档的编写；,职位要求,1.本科以上学历，计算机相关专业毕业；2 个以上完整项目经验；,2.有1年以上Python 开发经验，能独立解决开发过程中遇到的各种问题；,3.良好的编码风格和编程习惯，对高质量的代码有执着的追求;熟练掌握SVN，,Git 等代码版本管理工具的使用;,4. 良好的团队精神和沟通能力，高度的事业心和责任感，工作认真负责，具有,良好的职业操守。,加分项,1.了解HTTP 协议, 有Web 应用程序开发经验;,2.熟悉TCP/IP 协议, 有网络服务编程经验者优先;,3.有丰富数据库使用经验者优先;,4.有JAVA 开发经验者优先；,5.有爬虫使用经验者优先；",上海-静安区,Python开发工程师,1-1.5万/月,07-27
深圳市先行设备科技有限公司,3、熟悉Linux；精通Pyhon;  熟悉C/C++/C# 语言编程优先；,深圳-龙岗区,Python开发工程师,1-1.5万/月,07-27
国和瑞斯（北京）科技有限公司,"人员要求：,1. 有编程基础，了解python语言；,2. 了解debian、ubuntu等linux系统基本操作；,3. 有一定英文阅读能力；,4. 自学能力强，对NoSql开源数据库有兴趣了解和学习；,5. 有意向大数据技术方面发展；",北京-海淀区,python工程师,1-1.5万/月,07-27
北京安科兴业科技股份有限公司,"1.应用地质统计建模，地震信号处理，算法研究、建立数据模型开发软件,2.研发创新方法以及常规算法不能解决的问题，积累核心技术和理论研究，形成专利和文献。,【岗位要求】,1.地球物理、资源勘探、物探、应用数学等相关专业，本科及以上专业。,2.具有地震信号处理分析及地质建模等软件研发项目、生产项目或算法研发经验。,3.具有良好的编程经验，熟练掌握PHP编程或python编程、Qt界面编程经验者优先。,4.熟练掌握地震勘探、地质解释及信号处理等学科知识，对叠前及叠后地震数据的正反演模型有深入理解，并能够应用于实际项目。",济南-市中区,地震算法工程师（python/PHP）,5-8千/月,07-27
苏州智铸通信科技股份有限公司,"主要岗位职责：,1  根据公司产品或用户产品功能需求参与制定技术方案，项目计划；,2  根据用户需求分析业务领域相关问题，能提出实施方案及建议；,3  负责对研发项目制定单元测试、压力测试方案及编码；,4  配合运维人员进行数据库性能优化及相关问题的分析解决；,任职要求：,1  3年以上相关工作经验，至少3年以上Python编程经验，使用Python开发过大型系统经验者优先；,2  精通Python语言，熟悉Python开发编码规范，有代码洁癖；熟悉Python多进程应用开发及异步编程,3  熟练使用mongodb，熟悉熟悉索引工作原理,4  熟悉TCP/IP网络协议,熟悉Linux操作系统,熟悉redis等；,5  熟悉至少一种消息队列系统,了解 kafka;,6  熟悉团队协作开发，熟练使用git、svn等版本控制工具，熟悉redmin, gerrit; 熟悉 vagrant,docker，按照项目运行环境要求搭建环境；,7  对新技术有强烈的探索欲望，责任心强，良好的沟通能力，能够承受工作压力，有强烈的责任心；",天津-西青区,Python开发工程师,5-7千/月,07-27
广州方跑网络有限公司,"岗位职责：,1、分布式高并发后台系统开发，参与IM系统开发设计。,2、自动化测试，自动运维相关开发,3、搭建公司云服务,任职要求：,1、性格稳重，工作态度认真，有团队合作精神，能承受一定的工作压力。,2、具有1-3年或以上的go/c++/python开发经验。,3、熟练基本网站架构，熟练掌握web后台编程技术，熟悉http和https协议。,4、熟悉linux shell以及运维相关知识。,5,、熟练使用常用关系数据库mysql，熟悉使用nosql存储，如redis。,6、学习能力强、逻辑分析能力强、善于沟通。",广州-番禺区,服务器（Python）开发工程师,2-3万/月,07-27
