city,company,district,education,salary,work_name,work_year
北京,一网互通（北京）科技有限公司,朝阳区,本科,15k-25k,python开发工程师,3-5年
武汉,深圳市有为信息技术发展有限公司,东湖新技术开发区,本科,6k-10k,Python自动化开发工程师,1-3年
上海,圆通速递有限公司,,本科,15k-25k,python工程师,3-5年
上海,达疆网络科技（上海）有限公司,杨浦区,本科,20k-30k,python开发工程师,5-10年
杭州,杭州边锋网络技术有限公司,西湖区,本科,13k-25k,python开发,3-5年
北京,生仝智能科技（北京）有限公司,大兴区,硕士,14k-28k,python工程师,不限
上海,互道信息技术（上海）有限公司,浦东新区,本科,13k-20k,Python工程师,3-5年
深圳,深圳市乐易网络股份有限公司,南山区,本科,15k-30k,Python,3-5年
深圳,深圳市乐易网络股份有限公司,南山区,本科,10k-20k,python开发工程师,1-3年
北京,达而观信息科技（上海）有限公司,海淀区,本科,15k-25k,python开发工程师,3-5年
上海,上海走走信息科技有限公司,闵行区,本科,20k-40k,python开发,3-5年
北京,北京爱数智慧科技有限公司,海淀区,本科,7k-10k,python开发工程师,不限
武汉,湖南潭州教育网络科技有限公司武汉分公司,洪山区,本科,8k-16k,python工程师,不限
深圳,深圳寻找母星网络科技有限公司,南山区,本科,15k-25k,python工程师,1-3年
上海,百联全渠道电子商务有限公司,黄浦区,本科,15k-25k,python开发工程师,3-5年
深圳,深圳众禄基金销售股份有限公司,罗湖区,大专,15k-25k,Python开发工程师,3-5年
北京,北京安信天行科技有限公司,海淀区,本科,12k-20k,python开发工程师,5-10年
北京,北京爱数智慧科技有限公司,海淀区,本科,7k-10k,python开发工程师,不限
北京,奇虎360科技有限公司,朝阳区,本科,15k-30k,Python开发工程师,1-3年
深圳,深圳十方融海科技有限公司,南山区,本科,12k-18k,python开发工程师,1-3年
深圳,深圳市有为信息技术发展有限公司,龙岗区,本科,10k-20k,Python,3-5年
武汉,智线云科技（北京）有限公司,洪山区,不限,8k-15k,python开发工程师,1-3年
深圳,深圳市比一比网络科技有限公司,南山区,本科,15k-20k,python开发工程师,5-10年
深圳,上海海魄信息科技股份有限公司,龙岗区,大专,15k-20k,python工程师,1-3年
杭州,圆通速递有限公司,余杭区,本科,15k-30k,Python开发工程师,3-5年
杭州,杭州青塔科技有限公司,拱墅区,本科,10k-15k,python开发工程师,1-3年
成都,微慕客（成都）科技有限公司,双流县,本科,8k-12k,python开发工程师,1-3年
北京,北京华夏安科信息技术有限公司,朝阳区,本科,10k-20k,python工程师,3-5年
长沙,深圳市赢时胜信息技术股份有限公司,开福区,本科,8k-12k,python开发工程师,3-5年
北京,智线云科技（北京）有限公司,朝阳区,本科,12k-20k,Python开发工程师,1-3年
北京,北京嘀嘀无限科技发展有限公司,海淀区,本科,20k-40k,python开发工程师,3-5年
深圳,上海海魄信息科技股份有限公司,龙岗区,大专,15k-20k,python工程师,1-3年
深圳,深圳市睿服科技有限公司,福田区,本科,13k-17k,python开发工程师,1-3年
北京,北京寄云鼎城科技有限公司,海淀区,本科,20k-30k,Python开发工程师,5-10年
深圳,深圳佑驾创新科技有限公司,南山区,本科,15k-30k,Python工程师,1-3年
深圳,深信服科技股份有限公司,南山区,本科,15k-30k,python开发工程师,不限
深圳,深圳市紫川软件有限公司,南山区,本科,14k-18k,python工程师,3-5年
杭州,杭州边锋网络技术有限公司,西湖区,本科,13k-25k,python开发,3-5年
厦门,立达信物联科技股份有限公司,湖里区,硕士,10k-20k,python开发工程师,3-5年
深圳,立达信物联科技股份有限公司,南山区,本科,15k-20k,python开发工程师,3-5年
深圳,印孚瑟斯技术（中国）有限公司,,大专,10k-20k,Python开发工程师,3-5年
沈阳,沈阳不凡网络科技有限公司,浑南区,大专,5k-8k,python开发工程师,1-3年
杭州,圆通速递有限公司,余杭区,本科,6k-10k,python工程师,应届毕业生
北京,深圳市洞见智慧科技有限公司,东城区,本科,12k-20k,Python开发工程师,1-3年
深圳,平行空间（深圳）教育科技有限公司,南山区,本科,13k-20k,python开发工程师,3-5年
北京,北京融智国创科技有限公司,海淀区,本科,8k-12k,python开发工程师,应届毕业生
北京,武汉佰钧成技术有限责任公司,,本科,18k-19k,python开发工程师,3-5年
深圳,爱客科技（深圳）有限公司,南山区,本科,25k-35k,高级 Python 工程师,5-10年
深圳,厦门美图之家科技有限公司,,本科,15k-30k,高级python工程师,3-5年
深圳,爱客科技（深圳）有限公司,南山区,本科,15k-25k,Python 工程师（运维方向）,1-3年
成都,成都智诚创梦信息技术有限公司,,本科,10k-15k,高级python工程师,3-5年
南京,江苏东蓝软件技术有限公司,,不限,8k-13k,python爬虫工程师,1-3年
深圳,深圳虾皮信息科技有限公司,南山区,本科,13k-23k,Python后端开发工程师,1-3年
北京,北京百家互联科技有限公司,海淀区,本科,30k-60k,云平台开发架构师（python / go / golang语言均可）,5-10年
北京,北京百家互联科技有限公司,海淀区,本科,30k-60k,资深Python/Go工程师,3-5年
深圳,深圳虾皮信息科技有限公司,南山区,本科,20k-30k,Python开发工程师-金融业务,3-5年
北京,达而观信息科技（上海）有限公司,海淀区,本科,25k-35k,python高级开发工程师,5-10年
杭州,杭州康晟健康管理咨询有限公司,余杭区,本科,23k-35k,【社招】中间件开发工程师（Java/Python方向）,3-5年
上海,互道信息技术（上海）有限公司,浦东新区,本科,20k-40k,Python高级开发工程师,5-10年
成都,成都萌想科技有限责任公司,高新区,本科,13k-20k,python后端开发工程师,3-5年
